county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
18011,20,162,2,0,1,0
18013,4,29,,,,
18015,9,49,1,0,,
18017,17,178,5,12,,
18019,51,441,11,0,13,0
18021,10,93,,,,
18023,10,134,3,7,,
18025,4,0,,,,
18027,10,163,4,11,,
18029,22,218,3,0,2,0
18031,9,130,6,18,,
18033,21,211,3,0,1,0
18035,44,730,13,0,6,0
18037,24,322,5,20,,
18039,64,938,11,0,7,0
18041,11,107,5,0,1,0
18043,33,297,10,35,5,11
18045,10,0,,,1,0
18047,4,0,,,1,0
18049,11,136,3,11,,
18051,15,87,3,0,1,0
18053,27,278,11,0,3,0
18055,13,131,,,,
18057,131,1200,55,3680,35,860
18059,17,0,2,0,,
18061,13,174,6,0,3,0
18063,57,471,13,61,6,21
18065,16,171,5,15,,
18067,31,393,8,34,4,29
18069,23,230,4,6,,
18071,21,253,5,0,1,0
18073,14,157,2,0,1,0
18075,7,79,4,6,,
18077,15,119,3,0,2,0
18079,7,0,1,0,,
18081,57,472,30,161,10,34
18083,19,150,4,0,1,0
18085,38,298,5,26,4,13
18087,8,0,2,0,,
18089,193,2238,30,189,26,252
18091,34,543,10,0,3,0
18093,14,222,6,0,1,0
18095,38,305,12,0,5,0
18097,263,4284,137,1845,90,485
18099,18,171,6,0,2,0
18101,6,0,1,0,,
18103,14,192,3,0,1,0
18105,44,480,16,109,4,11
18107,19,127,7,0,1,0
18109,20,237,7,0,1,0
18111,6,94,,,,
18113,18,168,3,6,,
18115,2,0,,,1,0
18117,6,50,,,,
18119,3,0,1,0,,
18121,7,46,,,,
18123,8,0,1,0,,
18125,2,0,,,,
18127,62,582,18,145,7,19
18129,9,80,,,,
18131,8,90,,,,
18133,13,147,5,0,2,0
18135,12,0,,,1,0
18137,16,0,2,0,,
18139,5,0,3,0,,
18141,85,1346,26,157,13,46
18143,11,76,3,0,1,0
18145,13,98,5,0,1,0
18147,11,96,,,,
18149,6,0,1,0,,
18151,7,72,3,0,2,0
18153,7,0,1,0,,
18155,2,0,,,,
18157,60,680,17,0,4,0
18159,4,66,,,,
18161,2,0,,,,
18163,68,1046,22,90,14,100
18165,7,50,,,,
18167,44,898,12,0,1,0
18169,20,0,2,0,,
18171,2,0,1,0,,
18173,18,308,4,0,2,0
18175,7,84,1,0,1,0
18177,40,460,11,0,1,0
18179,12,95,5,20,,
18181,16,0,,,1,0
18183,16,107,6,14,,
18999,34,279,106,398,86,524
19000,1827,33718,335,7708,220,3619
19001,8,0,,,2,0
19003,4,24,,,,
19005,8,125,,,,
19007,7,74,1,0,1,0
19009,4,37,,,,
19011,17,120,,,,
19013,69,1093,21,399,13,59
19015,13,0,1,0,,
19017,17,0,2,0,,
19019,15,151,,,,
19021,15,184,1,0,1,0
19023,10,87,,,,
19025,10,74,,,,
19027,18,189,4,28,,
19029,12,0,,,1,0
19031,12,89,,,,
19033,25,376,5,0,2,0
19035,11,109,,,,
19037,11,95,,,,
19039,4,58,0,0,2,0
19041,13,144,3,5,,
19043,14,168,1,0,1,0
19045,34,407,6,0,1,0
19047,16,0,1,0,,
19049,52,0,12,0,10,96
19051,5,50,,,,
19053,4,27,,,,
19055,11,0,1,0,,
19057,26,321,4,13,3,7
19059,16,0,,,1,0
19061,65,1558,14,55,9,30
19063,9,92,,,,
19065,16,119,1,0,1,0
19067,9,153,,,,
19069,7,68,,,,
19071,6,33,,,,
19073,9,106,,,,
19075,10,144,,,,
19077,9,83,,,,
19079,9,0,1,0,,
19081,8,62,,,,
19083,16,0,,,1,0
19085,12,0,,,1,0
19087,13,0,1,0,,
19089,5,0,1,0,,
19091,7,61,,,,
19093,9,0,1,0,,
19095,8,62,,,,
19097,16,164,,,,
19099,15,154,2,0,1,0
19101,10,152,1,0,4,0
19103,53,1158,10,40,5,8
19105,14,0,,,1,0
19107,10,64,,,,
19109,17,137,,,,
19111,28,248,5,9,,
19113,110,1549,25,1106,17,41
19115,6,0,,,1,0
19117,4,51,,,,
19119,11,110,,,,
19121,8,88,3,5,,
19123,9,0,,,2,0
19125,14,191,3,0,1,0
19127,20,228,3,9,3,5
19129,6,68,1,0,2,0
19131,7,71,,,,
19133,11,70,,,,
19135,5,59,,,,
19137,8,0,2,0,,
19139,21,258,6,0,2,0
19141,15,0,1,0,,
19143,6,53,,,,
19145,11,114,3,3,,
19147,8,67,1,0,1,0
19149,17,0,1,0,,
19151,10,56,,,,
19153,206,6852,105,3158,87,3182
19155,47,452,17,61,6,16
19157,13,0,1,0,,
19159,5,0,,,,
19161,11,93,1,0,1,0
19163,84,1137,27,84,16,63
19165,15,0,1,0,,
19167,20,0,1,0,,
19169,48,474,9,37,4,18
19171,14,0,,,1,0
19173,5,26,,,,
19175,9,123,3,0,1,0
19177,10,57,,,,
19179,15,263,5,0,2,0
19181,16,187,3,0,3,0
19183,14,0,1,0,,
19185,3,0,,,,
19187,20,256,3,0,2,0
19189,8,124,,,,
19191,13,0,2,0,,
19193,60,737,10,50,6,25
19195,5,31,,,,
19197,12,0,,,1,0
20000,1422,21069,421,5277,194,1562
20001,9,0,,,1,0
20003,9,71,,,,
20005,7,0,1,0,,
20007,5,0,1,0,,
20009,16,229,3,0,1,0
20011,9,77,,,,
20013,6,0,1,0,,
20015,30,334,7,0,3,0
20017,2,0,,,,
20019,1,0,,,,
20021,8,0,1,0,,
20023,3,18,,,,
20025,1,0,,,,
20027,6,64,,,,
20029,10,0,1,0,,
20031,8,76,,,,
20033,2,0,,,,
20035,20,0,6,0,,
20037,24,247,5,20,,
20039,4,21,,,,
20041,13,132,,,,
20043,5,0,,,1,0
20045,54,535,11,0,4,0
20047,3,20,,,,
20049,1,0,,,,
20051,19,190,5,10,,
20053,8,96,,,,
20055,13,231,7,0,2,0
20057,14,152,8,0,2,0
20059,11,104,1,0,2,0
20061,19,151,7,0,2,0
20063,7,0,1,0,,
20067,3,0,,,,
20069,4,0,,,,
20071,1,0,1,0,,
20073,7,0,0,0,,
20075,2,0,,,,
20077,2,0,2,0,1,0
20079,20,229,2,0,1,0
20081,1,0,1,0,,
20083,2,0,,,,
20085,5,0,1,0,,
20087,6,39,,,,
20089,4,19,,,,
20091,266,6067,162,2812,99,1162
20093,2,0,,,,
20095,4,0,1,0,,
20097,2,0,,,,
20099,14,0,2,0,,
20101,2,0,,,,
20103,31,382,4,0,3,0
20105,4,39,,,,
20107,8,56,,,,
20109,3,0,,,,
20111,11,164,5,0,3,0
20113,24,259,1,0,1,0
20115,10,0,,,1,0
20117,10,0,1,0,,
20119,3,55,,,,
20121,13,0,2,0,,
20123,7,119,,,,
20125,20,191,4,0,1,0
20127,4,43,,,,
20129,1,0,,,,
20131,13,132,,,,
20133,15,0,1,0,,
20135,4,0,1,0,,
20137,4,0,2,0,,
20139,6,0,,,1,0
20141,5,44,,,,
20143,5,51,,,,
20145,4,0,1,0,,
20147,4,0,1,0,,
20149,13,197,4,0,1,0
20151,4,83,3,15,,
20153,2,0,,,,
20155,34,469,17,0,2,0
20157,5,0,1,0,,
20159,6,0,1,0,,
20161,29,610,8,16,3,6
20163,1,0,,,,
20165,4,27,,,,
20167,5,0,1,0,,
20169,26,318,9,30,4,11
20171,3,0,1,0,,
20173,178,2757,67,1281,21,157
20175,6,114,3,0,2,0
20177,92,1427,18,513,8,9
20179,3,22,,,,
20181,3,82,,,,
20183,2,0,,,,
20185,4,45,,,,
20187,1,0,,,,
20189,1,0,,,,
20191,11,0,1,0,,
20193,6,44,1,0,1,0
20195,2,0,,,,
20197,4,0,,,1,0
20199,1,0,,,,
20201,6,45,,,,
20203,2,0,,,,
20205,6,0,1,0,,
